symbol	geneid	oe_lof	oe_mis	pLI	pRec	pNull
AADACL3	ENSG00000188984	7.4091e-01	1.0688e+00	1.1889e-02	6.5755e-01	3.3056e-01
AADACL4	343066	8.9757e-01	1.1719e+00	1.5430e-04	4.4836e-01	5.5148e-01
AADACL4	ENSG00000204518	8.9757e-01	1.1719e+00	1.5430e-04	4.4836e-01	5.5148e-01
AADAT	51166	2.5759e-01	5.5983e-01	1.4641e-01	8.5345e-01	1.4052e-04
AADAT	ENSG00000109576	2.5759e-01	5.5983e-01	1.4641e-01	8.5345e-01	1.4052e-04
AAED1	195827	1.1471e+00	9.4944e-01	1.0063e-07	1.0014e-01	8.9986e-01
AAED1	ENSG00000158122	1.1471e+00	9.4944e-01	1.0063e-07	1.0014e-01	8.9986e-01
AAGAB	79719	6.5248e-01	1.1921e+00	3.8664e-07	8.1940e-01	1.8060e-01
AAGAB	ENSG00000103591	6.5248e-01	1.1921e+00	3.8664e-07	8.1940e-01	1.8060e-01
AAK1	22848	4.1108e-02	6.7376e-01	1.0000e+00	6.0511e-07	5.5783e-18
AAK1	ENSG00000115977	4.1108e-02	6.7376e-01	1.0000e+00	6.0511e-07	5.5783e-18
AAMDC	28971	1.1581e+00	1.0444e+00	2.2702e-06	1.6422e-01	8.3577e-01
AAMDC	ENSG00000087884	1.1581e+00	1.0444e+00	2.2702e-06	1.6422e-01	8.3577e-01
AAMP	14	1.7941e-01	6.9331e-01	7.6172e-01	2.3827e-01	1.4369e-05
AAMP	ENSG00000127837	1.7941e-01	6.9331e-01	7.6172e-01	2.3827e-01	1.4369e-05
AANAT	15	5.8463e-01	9.7960e-01	2.9690e-03	8.2475e-01	1.7228e-01
AANAT	ENSG00000129673	5.8463e-01	9.7960e-01	2.9690e-03	8.2475e-01	1.7228e-01
AAR2	25980	7.7387e-01	8.3997e-01	8.3057e-06	5.3455e-01	4.6544e-01
AAR2	ENSG00000131043	7.7387e-01	8.3997e-01	8.3057e-06	5.3455e-01	4.6544e-01
AARD	441376	2.3468e-01	1.0960e+00	3.2580e-01	6.1505e-01	5.9149e-02
AARD	ENSG00000205002	2.3468e-01	1.0960e+00	3.2580e-01	6.1505e-01	5.9149e-02
AARS	16	4.3213e-01	9.9373e-01	1.8242e-08	9.9999e-01	1.3381e-05
AARS	ENSG00000090861	4.3213e-01	9.9373e-01	1.8242e-08	9.9999e-01	1.3381e-05
AARS2	57505	6.2983e-01	9.9147e-01	4.9777e-17	9.7619e-01	2.3806e-02
AARS2	ENSG00000124608	6.2983e-01	9.9147e-01	4.9777e-17	9.7619e-01	2.3806e-02
AARSD1	80755	7.2926e-01	9.9833e-01	4.0653e-09	5.7071e-01	4.2929e-01
AARSD1	ENSG00000266967	7.2926e-01	9.9833e-01	4.0653e-09	5.7071e-01	4.2929e-01
AASDH	132949	6.0375e-01	9.6943e-01	1.6629e-13	9.8474e-01	1.5263e-02
AASDH	ENSG00000157426	6.0375e-01	9.6943e-01	1.6629e-13	9.8474e-01	1.5263e-02
AASDHPPT	60496	3.4109e-01	8.9972e-01	3.3866e-02	9.5859e-01	7.5409e-03
AASDHPPT	ENSG00000149313	3.4109e-01	8.9972e-01	3.3866e-02	9.5859e-01	7.5409e-03
AASS	10157	5.8328e-01	8.8950e-01	2.3101e-12	9.9134e-01	8.6635e-03
AASS	ENSG00000008311	5.8328e-01	8.8950e-01	2.3101e-12	9.9134e-01	8.6635e-03
AATF	26574	7.4612e-01	9.5161e-01	2.5958e-12	4.2964e-01	5.7036e-01
AATF	ENSG00000108270	7.4612e-01	9.5161e-01	2.5958e-12	4.2964e-01	5.7036e-01
AATK	9625	2.3786e-01	9.4420e-01	2.0634e-01	7.9366e-01	1.2058e-07
AATK	ENSG00000181409	2.3786e-01	9.4420e-01	2.0634e-01	7.9366e-01	1.2058e-07
ABAT	18	3.2476e-01	9.0591e-01	6.3216e-03	9.9352e-01	1.5356e-04
ABAT	ENSG00000183044	3.2476e-01	9.0591e-01	6.3216e-03	9.9352e-01	1.5356e-04
ABCA1	19	3.7761e-01	8.5748e-01	1.4525e-13	1.0000e+00	1.5195e-13
ABCA1	ENSG00000165029	3.7761e-01	8.5748e-01	1.4525e-13	1.0000e+00	1.5195e-13
ABCA10	10349	7.8175e-01	1.0056e+00	7.6593e-34	1.4115e-02	9.8589e-01
ABCA10	ENSG00000154263	7.8175e-01	1.0056e+00	7.6593e-34	1.4115e-02	9.8589e-01
ABCA12	26154	3.7726e-01	8.7450e-01	2.9220e-15	1.0000e+00	2.8449e-15
ABCA12	ENSG00000144452	3.7726e-01	8.7450e-01	2.9220e-15	1.0000e+00	2.8449e-15
ABCA13	154664	9.1534e-01	1.0865e+00	8.7753e-114	6.0940e-15	1.0000e+00
ABCA13	ENSG00000179869	9.1534e-01	1.0865e+00	8.7753e-114	6.0940e-15	1.0000e+00
ABCA2	20	1.0405e-01	6.5207e-01	1.0000e+00	1.3001e-10	7.4662e-34
ABCA2	ENSG00000107331	1.0405e-01	6.5207e-01	1.0000e+00	1.3001e-10	7.4662e-34
ABCA3	21	3.6114e-01	9.7157e-01	6.6226e-08	1.0000e+00	3.5225e-09
ABCA3	ENSG00000167972	3.6114e-01	9.7157e-01	6.6226e-08	1.0000e+00	3.5225e-09
ABCA4	24	7.6333e-01	1.0526e+00	5.3499e-48	6.0717e-03	9.9393e-01
ABCA4	ENSG00000198691	7.6333e-01	1.0526e+00	5.3499e-48	6.0717e-03	9.9393e-01
ABCA5	23461	6.6905e-01	9.6225e-01	4.7803e-27	9.3193e-01	6.8068e-02
ABCA5	ENSG00000154265	6.6905e-01	9.6225e-01	4.7803e-27	9.3193e-01	6.8068e-02
ABCA6	23460	6.8873e-01	1.0494e+00	5.1099e-27	7.9343e-01	2.0657e-01
ABCA6	ENSG00000154262	6.8873e-01	1.0494e+00	5.1099e-27	7.9343e-01	2.0657e-01
ABCA7	10347	8.9526e-01	1.1121e+00	2.1111e-55	5.0697e-07	1.0000e+00
ABCA7	ENSG00000064687	8.9526e-01	1.1121e+00	2.1111e-55	5.0697e-07	1.0000e+00
ABCA8	10351	9.8450e-01	1.0186e+00	1.6090e-52	3.5899e-08	1.0000e+00
ABCA8	ENSG00000141338	9.8450e-01	1.0186e+00	1.6090e-52	3.5899e-08	1.0000e+00
ABCA9	10350	8.8630e-01	9.2650e-01	9.4911e-48	6.2737e-06	9.9999e-01
ABCA9	ENSG00000154258	8.8630e-01	9.2650e-01	9.4911e-48	6.2737e-06	9.9999e-01
ABCB1	5243	3.2826e-01	8.4518e-01	1.2564e-05	9.9999e-01	5.5644e-09
ABCB1	ENSG00000085563	3.2826e-01	8.4518e-01	1.2564e-05	9.9999e-01	5.5644e-09
ABCB10	23456	6.1710e-01	7.9447e-01	2.9084e-08	9.1881e-01	8.1189e-02
ABCB10	ENSG00000135776	6.1710e-01	7.9447e-01	2.9084e-08	9.1881e-01	8.1189e-02
ABCB11	8647	4.7291e-01	8.8341e-01	1.5612e-12	9.9999e-01	5.2687e-06
ABCB11	ENSG00000073734	4.7291e-01	8.8341e-01	1.5612e-12	9.9999e-01	5.2687e-06
ABCB4	5244	3.6143e-01	7.8757e-01	2.2138e-07	1.0000e+00	1.5210e-08
ABCB4	ENSG00000005471	3.6143e-01	7.8757e-01	2.2138e-07	1.0000e+00	1.5210e-08
ABCB5	340273	9.0921e-01	1.2156e+00	1.5072e-37	4.8168e-05	9.9995e-01
ABCB5	ENSG00000004846	9.0921e-01	1.2156e+00	1.5072e-37	4.8168e-05	9.9995e-01
ABCB6	10058	7.3714e-01	1.0175e+00	8.5999e-19	3.4746e-01	6.5254e-01
ABCB6	ENSG00000115657	7.3714e-01	1.0175e+00	8.5999e-19	3.4746e-01	6.5254e-01
ABCB7	22	0.0000e+00	5.1366e-01	9.9994e-01	6.1928e-05	1.0727e-11
ABCB7	ENSG00000131269	0.0000e+00	5.1366e-01	9.9994e-01	6.1928e-05	1.0727e-11
ABCB8	11194	7.8352e-01	9.6124e-01	1.9164e-15	1.8810e-01	8.1190e-01
ABCB8	ENSG00000197150	7.8352e-01	9.6124e-01	1.9164e-15	1.8810e-01	8.1190e-01
ABCB9	23457	3.9431e-01	8.7198e-01	2.5164e-04	9.9910e-01	6.5257e-04
ABCB9	ENSG00000150967	3.9431e-01	8.7198e-01	2.5164e-04	9.9910e-01	6.5257e-04
ABCC1	4363	2.7593e-01	8.3676e-01	1.1727e-03	9.9883e-01	8.2320e-12
ABCC1	ENSG00000103222	2.7593e-01	8.3676e-01	1.1727e-03	9.9883e-01	8.2320e-12
ABCC10	89845	7.4317e-01	9.3788e-01	1.2887e-26	1.7525e-01	8.2475e-01
ABCC10	ENSG00000124574	7.4317e-01	9.3788e-01	1.2887e-26	1.7525e-01	8.2475e-01
ABCC11	85320	1.0116e+00	1.0197e+00	3.9884e-46	1.5510e-07	1.0000e+00
ABCC11	ENSG00000121270	1.0116e+00	1.0197e+00	3.9884e-46	1.5510e-07	1.0000e+00
ABCC12	94160	1.0474e+00	1.0093e+00	4.5659e-49	2.0487e-08	1.0000e+00
ABCC12	ENSG00000140798	1.0474e+00	1.0093e+00	4.5659e-49	2.0487e-08	1.0000e+00
ABCC2	1244	9.5304e-01	1.0999e+00	5.2025e-47	6.4371e-07	1.0000e+00
ABCC2	ENSG00000023839	9.5304e-01	1.0999e+00	5.2025e-47	6.4371e-07	1.0000e+00
ABCC3	8714	7.1149e-01	9.4097e-01	1.2092e-26	5.0728e-01	4.9272e-01
ABCC3	ENSG00000108846	7.1149e-01	9.4097e-01	1.2092e-26	5.0728e-01	4.9272e-01
ABCC4	10257	3.5485e-01	8.2148e-01	1.0674e-07	1.0000e+00	1.7751e-09
ABCC4	ENSG00000125257	3.5485e-01	8.2148e-01	1.0674e-07	1.0000e+00	1.7751e-09
ABCC5	10057	2.6636e-01	6.4775e-01	4.1518e-03	9.9585e-01	6.5754e-12
ABCC5	ENSG00000114770	2.6636e-01	6.4775e-01	4.1518e-03	9.9585e-01	6.5754e-12
ABCC6	368	8.2767e-01	1.1058e+00	5.6167e-35	1.5783e-03	9.9842e-01
ABCC6	ENSG00000091262	8.2767e-01	1.1058e+00	5.6167e-35	1.5783e-03	9.9842e-01
ABCC8	6833	6.0559e-01	8.2193e-01	7.9571e-24	9.9886e-01	1.1395e-03
ABCC8	ENSG00000006071	6.0559e-01	8.2193e-01	7.9571e-24	9.9886e-01	1.1395e-03
ABCC9	10060	3.5546e-01	5.1647e-01	9.3524e-09	1.0000e+00	9.8135e-11
ABCC9	ENSG00000069431	3.5546e-01	5.1647e-01	9.3524e-09	1.0000e+00	9.8135e-11
ABCD1	215	0.0000e+00	7.1850e-01	9.9896e-01	1.0414e-03	1.0394e-08
ABCD1	ENSG00000101986	0.0000e+00	7.1850e-01	9.9896e-01	1.0414e-03	1.0394e-08
ABCD2	225	4.5919e-01	6.6857e-01	4.7079e-06	9.9836e-01	1.6336e-03
ABCD2	ENSG00000173208	4.5919e-01	6.6857e-01	4.7079e-06	9.9836e-01	1.6336e-03
ABCD3	5825	2.7812e-01	6.2575e-01	7.8364e-03	9.9216e-01	3.8137e-08
ABCD3	ENSG00000117528	2.7812e-01	6.2575e-01	7.8364e-03	9.9216e-01	3.8137e-08
ABCD4	5826	6.4270e-01	9.7475e-01	1.3364e-12	9.2138e-01	7.8616e-02
ABCD4	ENSG00000119688	6.4270e-01	9.7475e-01	1.3364e-12	9.2138e-01	7.8616e-02
ABCE1	6059	1.5926e-01	3.5252e-01	9.7380e-01	2.6202e-02	1.9105e-09
ABCE1	ENSG00000164163	1.5926e-01	3.5252e-01	9.7380e-01	2.6202e-02	1.9105e-09
ABCF1	23	4.3829e-01	6.7921e-01	1.2823e-09	9.9999e-01	5.0163e-06
ABCF1	ENSG00000204574	4.3829e-01	6.7921e-01	1.2823e-09	9.9999e-01	5.0163e-06
ABCF2	10061	2.8873e-01	6.3649e-01	1.1301e-02	9.8870e-01	2.6983e-06
ABCF2	ENSG00000033050	2.8873e-01	6.3649e-01	1.1301e-02	9.8870e-01	2.6983e-06
ABCF3	55324	3.7717e-01	9.1132e-01	1.5114e-05	9.9997e-01	1.2582e-05
ABCF3	ENSG00000161204	3.7717e-01	9.1132e-01	1.5114e-05	9.9997e-01	1.2582e-05
ABCG1	9619	2.5572e-01	7.1167e-01	1.1182e-01	8.8817e-01	9.3351e-06
ABCG1	ENSG00000160179	2.5572e-01	7.1167e-01	1.1182e-01	8.8817e-01	9.3351e-06
ABCG2	9429	1.2054e+00	1.1319e+00	2.0957e-32	1.4337e-06	1.0000e+00
ABCG2	ENSG00000118777	1.2054e+00	1.1319e+00	2.0957e-32	1.4337e-06	1.0000e+00
ABCG4	64137	5.3193e-01	6.7819e-01	3.8043e-07	9.8806e-01	1.1940e-02
ABCG4	ENSG00000172350	5.3193e-01	6.7819e-01	3.8043e-07	9.8806e-01	1.1940e-02
ABCG5	64240	1.0262e+00	1.1088e+00	3.0810e-21	1.0855e-03	9.9891e-01
ABCG5	ENSG00000138075	1.0262e+00	1.1088e+00	3.0810e-21	1.0855e-03	9.9891e-01
ABCG8	64241	1.0067e+00	1.3584e+00	2.3838e-20	1.8810e-03	9.9812e-01
ABCG8	ENSG00000143921	1.0067e+00	1.3584e+00	2.3838e-20	1.8810e-03	9.9812e-01
ABHD1	84696	1.5346e+00	1.1765e+00	3.3799e-25	5.0311e-06	9.9999e-01
ABHD1	ENSG00000143994	1.5346e+00	1.1765e+00	3.3799e-25	5.0311e-06	9.9999e-01
ABHD10	55347	6.2574e-01	9.4991e-01	1.2865e-05	8.4618e-01	1.5380e-01
ABHD10	ENSG00000144827	6.2574e-01	9.4991e-01	1.2865e-05	8.4618e-01	1.5380e-01
ABHD11	83451	4.7695e-01	8.8677e-01	2.9581e-03	9.4786e-01	4.9180e-02
ABHD11	ENSG00000106077	4.7695e-01	8.8677e-01	2.9581e-03	9.4786e-01	4.9180e-02
ABHD12	26090	4.7104e-01	9.6293e-01	1.9476e-05	9.9483e-01	5.1499e-03
ABHD12	ENSG00000100997	4.7104e-01	9.6293e-01	1.9476e-05	9.9483e-01	5.1499e-03
ABHD12B	145447	1.1021e+00	1.0349e+00	3.7965e-15	5.9733e-03	9.9403e-01
ABHD12B	ENSG00000131969	1.1021e+00	1.0349e+00	3.7965e-15	5.9733e-03	9.9403e-01
ABHD13	84945	8.5594e-02	6.9368e-01	8.9460e-01	1.0522e-01	1.8802e-04
ABHD13	ENSG00000139826	8.5594e-02	6.9368e-01	8.9460e-01	1.0522e-01	1.8802e-04
ABHD14A	25864	8.0160e-01	9.2525e-01	6.4241e-06	4.8060e-01	5.1939e-01
ABHD14A	ENSG00000248487	8.0160e-01	9.2525e-01	6.4241e-06	4.8060e-01	5.1939e-01
ABHD14A-ACY1	100526760	7.1467e-01	9.6047e-01	1.7689e-10	6.1523e-01	3.8477e-01
ABHD14A-ACY1	ENSG00000114786	7.1467e-01	9.6047e-01	1.7689e-10	6.1523e-01	3.8477e-01
ABHD14B	84836	9.1187e-01	7.8439e-01	1.4378e-04	4.3449e-01	5.6537e-01
ABHD14B	ENSG00000114779	9.1187e-01	7.8439e-01	1.4378e-04	4.3449e-01	5.6537e-01
ABHD15	116236	9.2294e-01	1.0178e+00	3.5459e-08	1.9234e-01	8.0766e-01
ABHD15	ENSG00000168792	9.2294e-01	1.0178e+00	3.5459e-08	1.9234e-01	8.0766e-01
ABHD16A	7920	2.1978e-01	6.1873e-01	4.7336e-01	5.2664e-01	6.6611e-08
ABHD16A	ENSG00000204427	2.1978e-01	6.1873e-01	4.7336e-01	5.2664e-01	6.6611e-08
ABHD16B	140701	6.5970e-01	9.1939e-01	7.4371e-05	7.6405e-01	2.3588e-01
ABHD16B	ENSG00000183260	6.5970e-01	9.1939e-01	7.4371e-05	7.6405e-01	2.3588e-01
ABHD17A	81926	3.8191e-01	7.3062e-01	1.8945e-02	9.6348e-01	1.7580e-02
ABHD17A	ENSG00000129968	3.8191e-01	7.3062e-01	1.8945e-02	9.6348e-01	1.7580e-02
ABHD17B	51104	2.5160e-01	4.2046e-01	2.5442e-01	7.4016e-01	5.4225e-03
ABHD17B	ENSG00000107362	2.5160e-01	4.2046e-01	2.5442e-01	7.4016e-01	5.4225e-03
ABHD17C	58489	0.0000e+00	3.1376e-01	9.5762e-01	4.2288e-02	9.1496e-05
ABHD17C	ENSG00000136379	0.0000e+00	3.1376e-01	9.5762e-01	4.2288e-02	9.1496e-05
ABHD2	11057	1.8848e-01	6.1342e-01	6.8151e-01	3.1846e-01	3.4173e-05
ABHD2	ENSG00000140526	1.8848e-01	6.1342e-01	6.8151e-01	3.1846e-01	3.4173e-05
ABHD3	171586	7.7747e-01	8.8942e-01	1.6717e-09	3.9036e-01	6.0964e-01
ABHD3	ENSG00000158201	7.7747e-01	8.8942e-01	1.6717e-09	3.9036e-01	6.0964e-01
ABHD4	63874	6.9662e-01	8.6700e-01	2.2197e-08	6.9762e-01	3.0238e-01
ABHD4	ENSG00000100439	6.9662e-01	8.6700e-01	2.2197e-08	6.9762e-01	3.0238e-01
ABHD5	51099	6.1754e-01	9.0163e-01	6.4201e-07	8.9260e-01	1.0740e-01
ABHD5	ENSG00000011198	6.1754e-01	9.0163e-01	6.4201e-07	8.9260e-01	1.0740e-01
ABHD6	57406	5.7994e-01	8.4716e-01	2.2313e-05	9.1548e-01	8.4501e-02
ABHD6	ENSG00000163686	5.7994e-01	8.4716e-01	2.2313e-05	9.1548e-01	8.4501e-02
ABHD8	79575	6.5445e-02	7.1143e-01	9.7027e-01	2.9724e-02	7.6980e-06
ABHD8	ENSG00000127220	6.5445e-02	7.1143e-01	9.7027e-01	2.9724e-02	7.6980e-06
ABI1	10006	1.9900e-01	6.4818e-01	6.3911e-01	3.6088e-01	1.0283e-05
ABI1	ENSG00000136754	1.9900e-01	6.4818e-01	6.3911e-01	3.6088e-01	1.0283e-05
ABI2	10152	2.1875e-01	6.1241e-01	4.3122e-01	5.6872e-01	5.4782e-05
ABI2	ENSG00000138443	2.1875e-01	6.1241e-01	4.3122e-01	5.6872e-01	5.4782e-05
ABI3	51225	5.9607e-01	9.2497e-01	5.0089e-05	8.8088e-01	1.1907e-01
ABI3	ENSG00000108798	5.9607e-01	9.2497e-01	5.0089e-05	8.8088e-01	1.1907e-01
ABI3BP	25890	3.9968e-01	8.9987e-01	1.0074e-08	1.0000e+00	2.6004e-07
ABI3BP	ENSG00000154175	3.9968e-01	8.9987e-01	1.0074e-08	1.0000e+00	2.6004e-07
ABL1	25	6.8016e-02	7.3089e-01	9.9998e-01	1.7228e-05	3.9381e-15
ABL1	ENSG00000097007	6.8016e-02	7.3089e-01	9.9998e-01	1.7228e-05	3.9381e-15
ABL2	27	3.9926e-01	8.1253e-01	3.6365e-07	1.0000e+00	4.4491e-06
ABL2	ENSG00000143322	3.9926e-01	8.1253e-01	3.6365e-07	1.0000e+00	4.4491e-06
ABLIM1	3983	1.8690e-01	7.9145e-01	9.3010e-01	6.9898e-02	1.8451e-10
ABLIM1	ENSG00000099204	1.8690e-01	7.9145e-01	9.3010e-01	6.9898e-02	1.8451e-10
ABLIM2	84448	2.9222e-01	9.7661e-01	4.5858e-03	9.9541e-01	4.1005e-07
ABLIM2	ENSG00000163995	2.9222e-01	9.7661e-01	4.5858e-03	9.9541e-01	4.1005e-07
ABLIM3	22885	4.1006e-01	9.0459e-01	1.0625e-07	9.9999e-01	5.2673e-06
ABLIM3	ENSG00000173210	4.1006e-01	9.0459e-01	1.0625e-07	9.9999e-01	5.2673e-06
ABR	29	2.1260e-01	5.1917e-01	6.2738e-01	3.7262e-01	3.8725e-09
ABR	ENSG00000159842	2.1260e-01	5.1917e-01	6.2738e-01	3.7262e-01	3.8725e-09
ABRA	137735	6.9079e-01	1.0283e+00	6.1508e-06	7.1030e-01	2.8970e-01
ABRA	ENSG00000174429	6.9079e-01	1.0283e+00	6.1508e-06	7.1030e-01	2.8970e-01
ABRACL	58527	3.0283e-01	8.3080e-01	2.4171e-01	6.5317e-01	1.0512e-01
ABRACL	ENSG00000146386	3.0283e-01	8.3080e-01	2.4171e-01	6.5317e-01	1.0512e-01
ABT1	29777	4.4362e-01	9.6493e-01	2.0296e-02	9.1103e-01	6.8670e-02
ABT1	ENSG00000146109	4.4362e-01	9.6493e-01	2.0296e-02	9.1103e-01	6.8670e-02
ABTB1	80325	4.6669e-01	9.4538e-01	2.1295e-05	9.9544e-01	4.5368e-03
ABTB1	ENSG00000114626	4.6669e-01	9.4538e-01	2.1295e-05	9.9544e-01	4.5368e-03
ABTB2	25841	2.9193e-01	8.5921e-01	4.6627e-03	9.9534e-01	4.0030e-07
ABTB2	ENSG00000166016	2.9193e-01	8.5921e-01	4.6627e-03	9.9534e-01	4.0030e-07
AC002310.13	ENSG00000260869	3.7997e-01	1.1963e+00	1.8963e-01	6.5847e-01	1.5190e-01
AC002365.1	ENSG00000234469	9.9775e-01	5.8016e-01	2.3223e-05	3.1017e-01	6.8980e-01
AC002472.13	ENSG00000187905	1.2308e+00	8.2308e-01	6.2030e-16	2.0565e-03	9.9794e-01
AC002553.1	ENSG00000227782	5.1717e-01	5.1551e-01	1.4242e-01	6.4208e-01	2.1550e-01
AC003002.4	ENSG00000268133	8.9089e-01	1.1359e+00	8.0575e-03	5.7506e-01	4.1688e-01
AC003002.6	ENSG00000269533	2.2119e-01	7.2468e-01	3.5010e-01	5.9974e-01	5.0166e-02
AC003006.7	ENSG00000269026	9.4558e-01	1.0262e+00	7.1661e-03	5.5009e-01	4.4275e-01
AC003043.1	ENSG00000268413	0.0000e+00	3.0515e-01	3.1763e-01	4.9963e-01	1.8273e-01
AC003101.1	ENSG00000228768	1.0799e+00	7.9773e-01	3.0547e-04	3.6797e-01	6.3172e-01
AC003102.1	ENSG00000214921	NA	1.0049e+00	NA	NA	NA
AC004076.7	ENSG00000268533	0.0000e+00	5.5635e-01	3.8582e-01	4.8538e-01	1.2880e-01
AC004076.9	ENSG00000268163	6.9959e-01	9.5803e-01	1.4714e-03	6.9136e-01	3.0717e-01
AC004381.6	ENSG00000005189	6.0418e-01	7.8209e-01	2.7972e-11	9.7222e-01	2.7777e-02
AC004466.1	ENSG00000268069	3.4686e+00	9.6820e-01	1.4520e-03	2.6422e-01	7.3433e-01
AC004899.1	ENSG00000267970	NA	1.7127e+00	NA	NA	NA
AC005003.1	ENSG00000213888	0.0000e+00	9.7993e-01	4.5208e-01	4.5859e-01	8.9338e-02
AC005008.2	ENSG00000237896	1.1025e+00	8.5999e-01	3.0161e-06	1.9153e-01	8.0847e-01
AC005082.1	ENSG00000214871	8.1119e-01	4.5787e-01	1.0283e-01	6.0253e-01	2.9463e-01
AC005358.1	ENSG00000273452	1.0700e-01	9.1947e-01	9.9303e-01	6.9697e-03	8.9080e-09
AC005477.1	ENSG00000257040	NA	7.4531e-01	NA	NA	NA
AC005481.5	ENSG00000222012	0.0000e+00	9.3671e-01	4.2807e-01	4.6958e-01	1.0236e-01
AC005493.1	ENSG00000214841	4.8133e+00	5.3067e-01	1.2042e-03	2.3985e-01	7.5895e-01
AC005544.1	ENSG00000214167	1.8983e+00	6.8355e-01	1.3987e-02	4.5590e-01	5.3012e-01
AC005549.3	ENSG00000268024	0.0000e+00	7.9486e-01	3.0741e-01	5.0038e-01	1.9221e-01
AC005609.1	ENSG00000249034	7.5066e-01	9.8584e-01	1.1550e-02	6.5153e-01	3.3692e-01
AC005841.1	ENSG00000206044	1.5912e+00	8.9982e-01	2.9965e-10	1.2528e-02	9.8747e-01
AC006132.1	ENSG00000267757	2.4045e+00	1.1503e+00	1.9397e-03	3.0589e-01	6.9218e-01
AC006372.1	ENSG00000236669	NA	7.0977e-01	NA	NA	NA
AC006435.1	ENSG00000205821	1.6504e+00	1.1240e+00	6.1673e-08	3.9989e-02	9.6001e-01
AC006486.1	ENSG00000204957	6.9621e-01	9.7414e-01	1.1351e-01	6.1633e-01	2.7017e-01
AC006486.9	ENSG00000268643	0.0000e+00	4.0165e-01	9.3701e-01	6.2741e-02	2.4678e-04
AC006538.4	ENSG00000267001	5.7535e-01	9.1844e-01	1.3057e-01	6.3333e-01	2.3610e-01
AC006547.14	ENSG00000234409	7.1646e-01	8.0462e-01	4.7950e-07	6.4046e-01	3.5954e-01
AC006946.15	ENSG00000235478	3.8475e-01	6.7122e-01	1.1381e-01	7.8732e-01	9.8872e-02
AC007040.11	ENSG00000258881	5.3900e-01	7.0055e-01	4.1170e-03	8.7236e-01	1.2353e-01
AC007204.1	ENSG00000268461	4.9198e-01	1.0139e+00	1.4865e-01	6.4582e-01	2.0553e-01
AC007390.5	ENSG00000218739	7.8393e-01	1.0571e+00	1.0510e-02	6.3168e-01	3.5781e-01
AC007401.2	ENSG00000217075	1.7537e+00	9.0471e-01	2.7199e-03	3.6071e-01	6.3657e-01
AC007405.2	ENSG00000222033	NA	9.5676e-01	NA	NA	NA
AC007421.1	ENSG00000268503	NA	9.8646e-01	NA	NA	NA
AC007431.1	ENSG00000166329	0.0000e+00	7.6712e-01	7.0075e-01	2.8439e-01	1.4868e-02
AC007557.1	ENSG00000223874	0.0000e+00	7.8317e-01	4.8399e-01	4.4197e-01	7.4038e-02
AC007952.5	ENSG00000228157	0.0000e+00	6.7052e-01	5.1031e-01	4.2670e-01	6.2987e-02
