merged_symbol	merged_geneid	mimnumber	gsymbols	gname	gphenotypes
AADAT	ENSG00000109576	611754	AADAT,_KAT2	Alpha-aminoadipate_aminotransferase	
AAGAB	79719	614888	AAGAB,_p34,_PPKP1A,_PPKP1,_KPPP1	Alpha-_and_gamma-adaptin-binding_protein	Keratoderma,_palmoplantar,_punctate_type_IA,_148600_(3),_Autosomal_dominant
AAGAB	ENSG00000103591	614888	AAGAB,_p34,_PPKP1A,_PPKP1,_KPPP1	Alpha-_and_gamma-adaptin-binding_protein	Keratoderma,_palmoplantar,_punctate_type_IA,_148600_(3),_Autosomal_dominant
AAK1	22848	616405	AAK1,_KIAA1048	Adaptor_protein_2-associated_kinase_1	
AAK1	ENSG00000115977	616405	AAK1,_KIAA1048	Adaptor_protein_2-associated_kinase_1	
AAMP	14	603488	AAMP	Angio-associated_migratory_cell_protein	
AAMP	ENSG00000127837	603488	AAMP	Angio-associated_migratory_cell_protein	
AANAT	15	600950	AANAT,_SNAT	Arylalkylamine_N-acetyltransferase	
AANAT	ENSG00000129673	600950	AANAT,_SNAT	Arylalkylamine_N-acetyltransferase	
AAR2	25980	617365	AAR2,_C20orf4	Aar2_splicing_factor,_S._cerevisiae,_homolog_of	
AAR2	ENSG00000131043	617365	AAR2,_C20orf4	Aar2_splicing_factor,_S._cerevisiae,_homolog_of	
AARS	16	601065	AARS,_CMT2N,_EIEE29	Alanyl-tRNA_synthetase	Charcot-Marie-Tooth_disease,_axonal,_type_2N,_613287_(3),_Autosomal_dominant,_Epileptic_encephalopathy,_early_infantile,_29,_616339_(3),_Autosomal_recessive
AARS	ENSG00000090861	601065	AARS,_CMT2N,_EIEE29	Alanyl-tRNA_synthetase	Charcot-Marie-Tooth_disease,_axonal,_type_2N,_613287_(3),_Autosomal_dominant,_Epileptic_encephalopathy,_early_infantile,_29,_616339_(3),_Autosomal_recessive
AARS2	57505	612035	AARS2,_KIAA1270,_MTALARS,_COXPD8,_LKENP	Alanyl-tRNA_synthetase_2	Combined_oxidative_phosphorylation_deficiency_8,_614096_(3),_Autosomal_recessive,_Leukoencephalopathy,_progressive,_with_ovarian_failure,_615889_(3),_Autosomal_recessive
AARS2	ENSG00000124608	612035	AARS2,_KIAA1270,_MTALARS,_COXPD8,_LKENP	Alanyl-tRNA_synthetase_2	Combined_oxidative_phosphorylation_deficiency_8,_614096_(3),_Autosomal_recessive,_Leukoencephalopathy,_progressive,_with_ovarian_failure,_615889_(3),_Autosomal_recessive
AARSD1	80755	613212	AARSD1	Alanyl-tRNA_synthetase_domain-containing_1	
AARSD1	ENSG00000266967	613212	AARSD1	Alanyl-tRNA_synthetase_domain-containing_1	
AASDH	132949	614365	AASDH,_ACSF4	Aminoadipate-semialdehyde_dehydrogenase	
AASDH	ENSG00000157426	614365	AASDH,_ACSF4	Aminoadipate-semialdehyde_dehydrogenase	
AASDHPPT	60496	607756	AASDHPPT	Alpha-aminoadipate_semialdehyde_dehydrogenase-phosphopantetheinyl_transferase	
AASDHPPT	ENSG00000149313	607756	AASDHPPT	Alpha-aminoadipate_semialdehyde_dehydrogenase-phosphopantetheinyl_transferase	
AASS	10157	605113	AASS	Alpha-aminoadipic_semialdehyde_synthase	Hyperlysinemia,_238700_(3),_Autosomal_recessive,_Saccharopinuria,_268700_(1),_Autosomal_recessive
AASS	ENSG00000008311	605113	AASS	Alpha-aminoadipic_semialdehyde_synthase	Hyperlysinemia,_238700_(3),_Autosomal_recessive,_Saccharopinuria,_268700_(1),_Autosomal_recessive
AATF	26574	608463	AATF,_CHE1	Apoptosis-antagonizing_transcription_factor	
AATK	9625	605276	AATK,_AATYK	Apoptosis-associated_tyrosine_kinase	
AATK	ENSG00000181409	605276	AATK,_AATYK	Apoptosis-associated_tyrosine_kinase	
ABAT	18	137150	ABAT,_GABAT	4-aminobutyrate_aminotransferase	GABA-transaminase_deficiency,_613163_(3),_Autosomal_recessive
ABAT	ENSG00000183044	137150	ABAT,_GABAT	4-aminobutyrate_aminotransferase	GABA-transaminase_deficiency,_613163_(3),_Autosomal_recessive
ABCA1	19	600046	ABCA1,_ABC1,_HDLDT1,_TGD,_HDLCQTL13	ATP-binding_cassette_1	HDL_deficiency,_type_2,_604091_(3),_Tangier_disease,_205400_(3),_Autosomal_recessive
ABCA1	ENSG00000165029	600046	ABCA1,_ABC1,_HDLDT1,_TGD,_HDLCQTL13	ATP-binding_cassette_1	HDL_deficiency,_type_2,_604091_(3),_Tangier_disease,_205400_(3),_Autosomal_recessive
ABCA10	10349	612508	ABCA10	ATP-binding_cassette,_subfamily_A,_member_10	
ABCA10	ENSG00000154263	612508	ABCA10	ATP-binding_cassette,_subfamily_A,_member_10	
ABCA12	26154	607800	ABCA12,_ARCI4A,_ARCI4B,_ICR2B,_LI2	ATP-binding_cassette,_subfamily_A,_member_12	Ichthyosis,_congenital,_autosomal_recessive_4A,_601277_(3),_Autosomal_recessive,_Ichthyosis,_congenital,_autosomal_recessive_4B_(harlequin),_242500_(3),_Autosomal_recessive
ABCA12	ENSG00000144452	607800	ABCA12,_ARCI4A,_ARCI4B,_ICR2B,_LI2	ATP-binding_cassette,_subfamily_A,_member_12	Ichthyosis,_congenital,_autosomal_recessive_4A,_601277_(3),_Autosomal_recessive,_Ichthyosis,_congenital,_autosomal_recessive_4B_(harlequin),_242500_(3),_Autosomal_recessive
ABCA13	154664	607807	ABCA13	ATP-binding_cassette,_subfamily_A,_member_13	
ABCA13	ENSG00000179869	607807	ABCA13	ATP-binding_cassette,_subfamily_A,_member_13	
ABCA2	20	600047	ABCA2,_ABC2	ATP-binding_cassette_2	
ABCA2	ENSG00000107331	600047	ABCA2,_ABC2	ATP-binding_cassette_2	
ABCA3	21	601615	ABCA3,_ABC3,_SMDP3	ATP-binding_cassette-3	Surfactant_metabolism_dysfunction,_pulmonary,_3,_610921_(3),_Autosomal_recessive
ABCA3	ENSG00000167972	601615	ABCA3,_ABC3,_SMDP3	ATP-binding_cassette-3	Surfactant_metabolism_dysfunction,_pulmonary,_3,_610921_(3),_Autosomal_recessive
ABCA4	24	601691	ABCA4,_ABCR,_STGD1,_FFM,_RP19,_CORD3,_ARMD2	ATP-binding_transporter,_retina-specific	Cone-rod_dystrophy_3,_604116_(3),_Fundus_flavimaculatus,_248200_(3),_Autosomal_recessive,_{Macular_degeneration,_age-related,_2},_153800_(3),_Autosomal_dominant,_Retinal_dystrophy,_early-onset_severe,_248200_(3),_Autosomal_recessive,_Retinitis_pigmentosa_19,_601718_(3),_Autosomal_recessive,_Stargardt_disease_1,_248200_(3),_Autosomal_recessive
ABCA4	ENSG00000198691	601691	ABCA4,_ABCR,_STGD1,_FFM,_RP19,_CORD3,_ARMD2	ATP-binding_transporter,_retina-specific	Cone-rod_dystrophy_3,_604116_(3),_Fundus_flavimaculatus,_248200_(3),_Autosomal_recessive,_{Macular_degeneration,_age-related,_2},_153800_(3),_Autosomal_dominant,_Retinal_dystrophy,_early-onset_severe,_248200_(3),_Autosomal_recessive,_Retinitis_pigmentosa_19,_601718_(3),_Autosomal_recessive,_Stargardt_disease_1,_248200_(3),_Autosomal_recessive
ABCA5	23461	612503	ABCA5,_KIAA1888,_HTC3	ATP-binding_cassette,_subfamily_A,_member_5	?Hypertrichosis,_congenital_generalized,_with_gingival_hyperplasia,_135400_(3),_Autosomal_recessive
ABCA5	ENSG00000154265	612503	ABCA5,_KIAA1888,_HTC3	ATP-binding_cassette,_subfamily_A,_member_5	?Hypertrichosis,_congenital_generalized,_with_gingival_hyperplasia,_135400_(3),_Autosomal_recessive
ABCA6	23460	612504	ABCA6	ATP-binding_cassette,_subfamily_A,_member_6	
ABCA6	ENSG00000154262	612504	ABCA6	ATP-binding_cassette,_subfamily_A,_member_6	
ABCA7	10347	605414	ABCA7,_ABCX,_AD9	ATP-binding_cassette,_subfamily_A,_member_7	{Alzheimer_disease_9,_susceptibility_to},_608907_(3),_Autosomal_dominant
ABCA7	ENSG00000064687	605414	ABCA7,_ABCX,_AD9	ATP-binding_cassette,_subfamily_A,_member_7	{Alzheimer_disease_9,_susceptibility_to},_608907_(3),_Autosomal_dominant
ABCA8	10351	612505	ABCA8,_KIAA0822	ATP-binding_cassette,_subfamily_A,_member_8	
ABCA8	ENSG00000141338	612505	ABCA8,_KIAA0822	ATP-binding_cassette,_subfamily_A,_member_8	
ABCA9	10350	612507	ABCA9	ATP-binding_cassette,_subfamily_A,_member_9	
ABCA9	ENSG00000154258	612507	ABCA9	ATP-binding_cassette,_subfamily_A,_member_9	
ABCB1	5243	171050	ABCB1,_PGY1,_MDR1,_IBD13,_CLCs	ATP-binding_cassette,_subfamily_B,_member_1_(P-glycoprotein-1/multiple_drug_resistance-1)	{Colchicine_resistance},_120080_(3),_{Inflammatory_bowel_disease_13},_612244_(3)
ABCB1	ENSG00000085563	171050	ABCB1,_PGY1,_MDR1,_IBD13,_CLCs	ATP-binding_cassette,_subfamily_B,_member_1_(P-glycoprotein-1/multiple_drug_resistance-1)	{Colchicine_resistance},_120080_(3),_{Inflammatory_bowel_disease_13},_612244_(3)
ABCB10	23456	605454	ABCB10,_MTABC2	ATP-binding_cassette,_subfamily_B,_member_10	
ABCB10	ENSG00000135776	605454	ABCB10,_MTABC2	ATP-binding_cassette,_subfamily_B,_member_10	
ABCB11	8647	603201	ABCB11,_BSEP,_SPGP,_PFIC2,_BRIC2	ATP-binding_cassette,_subfamily_B,_member_11_(bile_salt_export_pump)	Cholestasis,_benign_recurrent_intrahepatic,_2,_605479_(3),_Autosomal_recessive,_Cholestasis,_progressive_familial_intrahepatic_2,_601847_(3),_Autosomal_recessive
ABCB11	ENSG00000073734	603201	ABCB11,_BSEP,_SPGP,_PFIC2,_BRIC2	ATP-binding_cassette,_subfamily_B,_member_11_(bile_salt_export_pump)	Cholestasis,_benign_recurrent_intrahepatic,_2,_605479_(3),_Autosomal_recessive,_Cholestasis,_progressive_familial_intrahepatic_2,_601847_(3),_Autosomal_recessive
ABCB4	5244	171060	ABCB4,_PGY3,_MDR3,_ICP3	ATP-binding_cassette,_subfamily_B,_member_4_(P-glycoprotein-3/multiple_drug_resistance-3)	Cholestasis,_intrahepatic,_of_pregnancy,_3,_614972_(3),_Autosomal_recessive,_Autosomal_dominant,_Cholestasis,_progressive_familial_intrahepatic_3,_602347_(3),_Autosomal_recessive,_Gallbladder_disease_1,_600803_(3),_Autosomal_recessive,_Autosomal_dominant
ABCB4	ENSG00000005471	171060	ABCB4,_PGY3,_MDR3,_ICP3	ATP-binding_cassette,_subfamily_B,_member_4_(P-glycoprotein-3/multiple_drug_resistance-3)	Cholestasis,_intrahepatic,_of_pregnancy,_3,_614972_(3),_Autosomal_recessive,_Autosomal_dominant,_Cholestasis,_progressive_familial_intrahepatic_3,_602347_(3),_Autosomal_recessive,_Gallbladder_disease_1,_600803_(3),_Autosomal_recessive,_Autosomal_dominant
ABCB5	340273	611785	ABCB5	ATP-binding_cassette,_subfamily_B,_member_5	
ABCB5	ENSG00000004846	611785	ABCB5	ATP-binding_cassette,_subfamily_B,_member_5	
ABCB6	10058	605452	ABCB6,_MTABC3,_MCOPCB7,_LAN,_DUH3,_PSHK2	ATP-binding_cassette,_subfamily_B,_member_6	[Blood_group,_Langereis_system],_111600_(3),_Dyschromatosis_universalis_hereditaria_3,_615402_(3),_Autosomal_dominant,_Microphthalmia,_isolated,_with_coloboma_7,_614497_(3),_Autosomal_dominant,_Pseudohyperkalemia,_familial,_2,_due_to_red_cell_leak,_609153_(3),_Autosomal_dominant
ABCB6	ENSG00000115657	605452	ABCB6,_MTABC3,_MCOPCB7,_LAN,_DUH3,_PSHK2	ATP-binding_cassette,_subfamily_B,_member_6	[Blood_group,_Langereis_system],_111600_(3),_Dyschromatosis_universalis_hereditaria_3,_615402_(3),_Autosomal_dominant,_Microphthalmia,_isolated,_with_coloboma_7,_614497_(3),_Autosomal_dominant,_Pseudohyperkalemia,_familial,_2,_due_to_red_cell_leak,_609153_(3),_Autosomal_dominant
ABCB7	22	300135	ABCB7,_ABC7,_ASAT	ATP-binding_cassette-7	Anemia,_sideroblastic,_with_ataxia,_301310_(3),_X-linked_recessive
ABCB7	ENSG00000131269	300135	ABCB7,_ABC7,_ASAT	ATP-binding_cassette-7	Anemia,_sideroblastic,_with_ataxia,_301310_(3),_X-linked_recessive
ABCB8	11194	605464	ABCB8,_MABC1	ATP-binding_cassette,_subfamily_B,_member_8	
ABCB8	ENSG00000197150	605464	ABCB8,_MABC1	ATP-binding_cassette,_subfamily_B,_member_8	
ABCB9	23457	605453	ABCB9	ATP-binding_cassette,_subfamily_B,_member_9	
ABCB9	ENSG00000150967	605453	ABCB9	ATP-binding_cassette,_subfamily_B,_member_9	
ABCC1	4363	158343	ABCC1,_MRP1,_MRP	ATP-binding_cassette,_subfamily_C,_member_1_(multidrug_resistance-associated_protein_1)	
ABCC1	ENSG00000103222	158343	ABCC1,_MRP1,_MRP	ATP-binding_cassette,_subfamily_C,_member_1_(multidrug_resistance-associated_protein_1)	
ABCC10	89845	612509	ABCC10,_MRP7	ATP-binding_cassette,_subfamily_C,_member_10	
ABCC10	ENSG00000124574	612509	ABCC10,_MRP7	ATP-binding_cassette,_subfamily_C,_member_10	
ABCC11	85320	607040	ABCC11,_MRP8,_EWWD,_WW	ATP-binding_cassette,_subfamily_C,_member_11	[Axillary_odor,_variation_in],_117800_(3),_Autosomal_dominant,_[Colostrum_secretion,_variation_in],_117800_(3),_Autosomal_dominant,_[Earwax,_wet/dry],_117800_(3),_Autosomal_dominant
ABCC11	ENSG00000121270	607040	ABCC11,_MRP8,_EWWD,_WW	ATP-binding_cassette,_subfamily_C,_member_11	[Axillary_odor,_variation_in],_117800_(3),_Autosomal_dominant,_[Colostrum_secretion,_variation_in],_117800_(3),_Autosomal_dominant,_[Earwax,_wet/dry],_117800_(3),_Autosomal_dominant
ABCC12	94160	607041	ABCC12,_MRP9	ATP-binding_cassette,_subfamily_C,_member_12	
ABCC12	ENSG00000140798	607041	ABCC12,_MRP9	ATP-binding_cassette,_subfamily_C,_member_12	
ABCC13	150000	608835	ABCC13	ATP-binding_cassette,_subfamily_C,_member_13	
ABCC13	ENSG00000243064	608835	ABCC13	ATP-binding_cassette,_subfamily_C,_member_13	
ABCC2	1244	601107	ABCC2,_CMOAT	ATP-binding_cassette,_subfamily_C,_member_2_(canalicular_multispecific_organic_anion_transporter)	Dubin-Johnson_syndrome,_237500_(3),_Autosomal_recessive
ABCC2	ENSG00000023839	601107	ABCC2,_CMOAT	ATP-binding_cassette,_subfamily_C,_member_2_(canalicular_multispecific_organic_anion_transporter)	Dubin-Johnson_syndrome,_237500_(3),_Autosomal_recessive
ABCC3	8714	604323	ABCC3,_CMOAT2,_MRP3,_MLP2	ATP-binding_cassette,_sub-family_C,_member_3	
ABCC3	ENSG00000108846	604323	ABCC3,_CMOAT2,_MRP3,_MLP2	ATP-binding_cassette,_sub-family_C,_member_3	
ABCC4	10257	605250	ABCC4,_MRP4,_MOATB	ATP-binding_cassette,_subfamily_C,_member_4	
ABCC4	ENSG00000125257	605250	ABCC4,_MRP4,_MOATB	ATP-binding_cassette,_subfamily_C,_member_4	
ABCC5	10057	605251	ABCC5,_MRP5,_MOATC	ATP-binding_cassette,_subfamily_C,_member_5	
ABCC5	ENSG00000114770	605251	ABCC5,_MRP5,_MOATC	ATP-binding_cassette,_subfamily_C,_member_5	
ABCC6	368	603234	ABCC6,_ARA,_ABC34,_MLP1,_PXE,_GACI2	ATP-binding_cassette,_subfamily_C,_member_6	Arterial_calcification,_generalized,_of_infancy,_2,_614473_(3),_Autosomal_recessive,_Pseudoxanthoma_elasticum,_264800_(3),_Autosomal_recessive,_Pseudoxanthoma_elasticum,_forme_fruste,_177850_(3),_Autosomal_dominant
ABCC6	ENSG00000091262	603234	ABCC6,_ARA,_ABC34,_MLP1,_PXE,_GACI2	ATP-binding_cassette,_subfamily_C,_member_6	Arterial_calcification,_generalized,_of_infancy,_2,_614473_(3),_Autosomal_recessive,_Pseudoxanthoma_elasticum,_264800_(3),_Autosomal_recessive,_Pseudoxanthoma_elasticum,_forme_fruste,_177850_(3),_Autosomal_dominant
ABCC8	6833	600509	ABCC8,_SUR,_PHHI,_SUR1,_HHF1,_TNDM2	ATP-binding_cassette,_subfamily_C,_member_8_(sulfonylurea_receptor)	Diabetes_mellitus,_noninsulin-dependent,_125853_(3),_Autosomal_dominant,_Diabetes_mellitus,_permanent_neonatal,_606176_(3),_Autosomal_recessive,_Autosomal_dominant,_Diabetes_mellitus,_transient_neonatal_2,_610374_(3),_Hyperinsulinemic_hypoglycemia,_familial,_1,_256450_(3),_Autosomal_recessive,_Autosomal_dominant,_Hypoglycemia_of_infancy,_leucine-sensitive,_240800_(3),_Autosomal_dominant
ABCC8	ENSG00000006071	600509	ABCC8,_SUR,_PHHI,_SUR1,_HHF1,_TNDM2	ATP-binding_cassette,_subfamily_C,_member_8_(sulfonylurea_receptor)	Diabetes_mellitus,_noninsulin-dependent,_125853_(3),_Autosomal_dominant,_Diabetes_mellitus,_permanent_neonatal,_606176_(3),_Autosomal_recessive,_Autosomal_dominant,_Diabetes_mellitus,_transient_neonatal_2,_610374_(3),_Hyperinsulinemic_hypoglycemia,_familial,_1,_256450_(3),_Autosomal_recessive,_Autosomal_dominant,_Hypoglycemia_of_infancy,_leucine-sensitive,_240800_(3),_Autosomal_dominant
ABCC9	10060	601439	ABCC9,_SUR2,_CMD1O,_ATFB12,_CANTU	ATP-binding_cassette,_subfamily_C,_member_9_(sulfonylurea_receptor_2)	Atrial_fibrillation,_familial,_12,_614050_(3),_Autosomal_dominant,_Cardiomyopathy,_dilated,_1O,_608569_(3),_Hypertrichotic_osteochondrodysplasia,_239850_(3),_Autosomal_dominant
ABCC9	ENSG00000069431	601439	ABCC9,_SUR2,_CMD1O,_ATFB12,_CANTU	ATP-binding_cassette,_subfamily_C,_member_9_(sulfonylurea_receptor_2)	Atrial_fibrillation,_familial,_12,_614050_(3),_Autosomal_dominant,_Cardiomyopathy,_dilated,_1O,_608569_(3),_Hypertrichotic_osteochondrodysplasia,_239850_(3),_Autosomal_dominant
ABCD1	215	300371	ABCD1,_ALD,_AMN	ATP-binding_cassette,_subfamily_D,_member_1	Adrenoleukodystrophy,_300100_(3),_X-linked_recessive,_Adrenomyeloneuropathy,_adult,_300100_(3),_X-linked_recessive
ABCD1	ENSG00000101986	300371	ABCD1,_ALD,_AMN	ATP-binding_cassette,_subfamily_D,_member_1	Adrenoleukodystrophy,_300100_(3),_X-linked_recessive,_Adrenomyeloneuropathy,_adult,_300100_(3),_X-linked_recessive
ABCD2	225	601081	ABCD2,_ALDR,_ALDL1	ATP-binding_cassette,_subfamily_D,_member_2	
ABCD2	ENSG00000173208	601081	ABCD2,_ALDR,_ALDL1	ATP-binding_cassette,_subfamily_D,_member_2	
ABCD3	5825	170995	ABCD3,_PXMP1,_PMP70,_CBAS5	ATP-binding_cassette,_subfamily_D,_member_3_(peroxisomal_membrane_protein_1,_70kD)	?Bile_acid_synthesis_defect,_congenital,_5,_616278_(3),_Autosomal_recessive
ABCD3	ENSG00000117528	170995	ABCD3,_PXMP1,_PMP70,_CBAS5	ATP-binding_cassette,_subfamily_D,_member_3_(peroxisomal_membrane_protein_1,_70kD)	?Bile_acid_synthesis_defect,_congenital,_5,_616278_(3),_Autosomal_recessive
ABCD4	5826	603214	ABCD4,_PXMP1L,_P79R,_PMP69,_MAHCJ	ATP-binding_cassette,_subfamily_D,_member_4_(peroxisomal_membrane_protein_1-like)	Methylmalonic_aciduria_and_homocystinuria,_cblJ_type,_614857_(3),_Autosomal_recessive
ABCD4	ENSG00000119688	603214	ABCD4,_PXMP1L,_P79R,_PMP69,_MAHCJ	ATP-binding_cassette,_subfamily_D,_member_4_(peroxisomal_membrane_protein_1-like)	Methylmalonic_aciduria_and_homocystinuria,_cblJ_type,_614857_(3),_Autosomal_recessive
ABCE1	6059	601213	ABCE1,_RNASELI,_RNS4I	ATP-binding_cassette,_subfamily_E,_member_1_(ribonuclease_L_inhibitor)	
ABCE1	ENSG00000164163	601213	ABCE1,_RNASELI,_RNS4I	ATP-binding_cassette,_subfamily_E,_member_1_(ribonuclease_L_inhibitor)	
ABCF1	23	603429	ABCF1,_ABC50	ATP-binding_cassette_50,_TNF-alpha_stimulated	
ABCF1	ENSG00000204574	603429	ABCF1,_ABC50	ATP-binding_cassette_50,_TNF-alpha_stimulated	
ABCF2	10061	612510	ABCF2,_HUSSY18	ATP-binding_cassette,_subfamily_F,_member_2	
ABCF2	ENSG00000033050	612510	ABCF2,_HUSSY18	ATP-binding_cassette,_subfamily_F,_member_2	
ABCG1	9619	603076	ABCG1,_ABC8,_WHITE1	ATP-binding_cassette,_subfamily_G,_member_1_(white,_Drosophila,_homolog_of)	
ABCG1	ENSG00000160179	603076	ABCG1,_ABC8,_WHITE1	ATP-binding_cassette,_subfamily_G,_member_1_(white,_Drosophila,_homolog_of)	
ABCG2	9429	603756	ABCG2,_BCRP,_ABCP,_UAQTL1,_GOUT1	ATP-binding_cassette,_subfamily_G,_member_2	[Junior_blood_group_system],_614490_(3),_[Uric_acid_concentration,_serum,_QTL1],_138900_(3),_?Autosomal_dominant
ABCG2	ENSG00000118777	603756	ABCG2,_BCRP,_ABCP,_UAQTL1,_GOUT1	ATP-binding_cassette,_subfamily_G,_member_2	[Junior_blood_group_system],_614490_(3),_[Uric_acid_concentration,_serum,_QTL1],_138900_(3),_?Autosomal_dominant
ABCG4	64137	607784	ABCG4,_WHITE2	ATP-binding_cassette,_subfamily_G,_member_4	
ABCG4	ENSG00000172350	607784	ABCG4,_WHITE2	ATP-binding_cassette,_subfamily_G,_member_4	
ABCG5	64240	605459	ABCG5	ATP-binding_cassette,_subfamily_G,_member_5	Sitosterolemia,_210250_(3),_Autosomal_recessive
ABCG5	ENSG00000138075	605459	ABCG5	ATP-binding_cassette,_subfamily_G,_member_5	Sitosterolemia,_210250_(3),_Autosomal_recessive
ABCG8	64241	605460	ABCG8,_GBD4	ATP-binding_cassette,_subfamily_G,_member_8	{Gallbladder_disease_4},_611465_(3),_Sitosterolemia,_210250_(3),_Autosomal_recessive
ABCG8	ENSG00000143921	605460	ABCG8,_GBD4	ATP-binding_cassette,_subfamily_G,_member_8	{Gallbladder_disease_4},_611465_(3),_Sitosterolemia,_210250_(3),_Autosomal_recessive
ABHD1	84696	612195	ABHD1,_LABH1	Abhydrolase_domain-containing_1	
ABHD1	ENSG00000143994	612195	ABHD1,_LABH1	Abhydrolase_domain-containing_1	
ABHD12	26090	613599	ABHD12,_PHARC	Abhydrolase_domain-containing_protein_12	Polyneuropathy,_hearing_loss,_ataxia,_retinitis_pigmentosa,_and_cataract,_612674_(3),_Autosomal_recessive
ABHD12	ENSG00000100997	613599	ABHD12,_PHARC	Abhydrolase_domain-containing_protein_12	Polyneuropathy,_hearing_loss,_ataxia,_retinitis_pigmentosa,_and_cataract,_612674_(3),_Autosomal_recessive
ABHD16A	7920	142620	ABHD16A,_BAT5,_D6S82E	Abhydrolase_domain-containing_16A	
ABHD16A	ENSG00000204427	142620	ABHD16A,_BAT5,_D6S82E	Abhydrolase_domain-containing_16A	
ABHD17A	81926	617942	ABHD17A,_FAM108A1	Abhydrolase_domain-containing_protein_17A	
ABHD17A	ENSG00000129968	617942	ABHD17A,_FAM108A1	Abhydrolase_domain-containing_protein_17A	
ABHD17B	51104	617943	ABHD17B,_FAM108B1	Abhydrolase_domain-containing_protein_17B	
ABHD17B	ENSG00000107362	617943	ABHD17B,_FAM108B1	Abhydrolase_domain-containing_protein_17B	
ABHD17C	58489	617944	ABHD17C,_FAM108C1	Abhydrolase_domain-containing_protein_17C	
ABHD17C	ENSG00000136379	617944	ABHD17C,_FAM108C1	Abhydrolase_domain-containing_protein_17C	
ABHD2	11057	612196	ABHD2,_LABH2	Abhydrolase_domain-containing_2	
ABHD2	ENSG00000140526	612196	ABHD2,_LABH2	Abhydrolase_domain-containing_2	
ABHD3	171586	612197	ABHD3,_LABH3	Abhydrolase_domain-containing_3	
ABHD3	ENSG00000158201	612197	ABHD3,_LABH3	Abhydrolase_domain-containing_3	
ABHD5	51099	604780	ABHD5,_CGI58,_IECN2,_NCIE2	Abhydrolase_domain_containing_5	Chanarin-Dorfman_syndrome,_275630_(3),_Autosomal_recessive
ABHD5	ENSG00000011198	604780	ABHD5,_CGI58,_IECN2,_NCIE2	Abhydrolase_domain_containing_5	Chanarin-Dorfman_syndrome,_275630_(3),_Autosomal_recessive
ABHD6	57406	616966	ADHB6	Abhydrolase_domain-containing_protein_6	
ABHD6	ENSG00000163686	616966	ADHB6	Abhydrolase_domain-containing_protein_6	
ABI1	10006	603050	ABI1	ABL-interactor_1	
ABI1	ENSG00000136754	603050	ABI1	ABL-interactor_1	
ABI2	10152	606442	ABI2,_AIP1	ABL_interactor_2	
ABI2	ENSG00000138443	606442	ABI2,_AIP1	ABL_interactor_2	
ABI3	51225	606363	NESH	NESH_protein	
ABI3	ENSG00000108798	606363	NESH	NESH_protein	
ABI3BP	25890	606279	TARSH	Target_of_Nesh-SH3	
ABI3BP	ENSG00000154175	606279	TARSH	Target_of_Nesh-SH3	
