symbol	geneid	disorders
ABCD1	ENSG00000101986	[139399:Adrenomyeloneuropathy],[369942:CADDS],[139396:X-linked_cerebral_adrenoleukodystrophy]
ABCD4	5826	[369955:Methylmalonic_acidemia_with_homocystinuria,_type_cblJ]
ABCD4	ENSG00000119688	[369955:Methylmalonic_acidemia_with_homocystinuria,_type_cblJ]
ABCG5	64240	[391665:Homozygous_familial_hypercholesterolemia],[2882:Sitosterolemia]
ABCG5	ENSG00000138075	[391665:Homozygous_familial_hypercholesterolemia],[2882:Sitosterolemia]
ABCG8	64241	[391665:Homozygous_familial_hypercholesterolemia],[2882:Sitosterolemia]
ABCG8	ENSG00000143921	[391665:Homozygous_familial_hypercholesterolemia],[2882:Sitosterolemia]
ABHD12	26090	[171848:Polyneuropathy-hearing_loss-ataxia-retinitis_pigmentosa-cataract_syndrome]
ABHD12	ENSG00000100997	[171848:Polyneuropathy-hearing_loss-ataxia-retinitis_pigmentosa-cataract_syndrome]
ABHD5	51099	[98907:Neutral_lipid_storage_disease_with_ichthyosis]
ABHD5	ENSG00000011198	[98907:Neutral_lipid_storage_disease_with_ichthyosis]
ABL1	25	[521:Chronic_myeloid_leukemia],[99860:Precursor_B-cell_acute_lymphoblastic_leukemia],[99861:Precursor_T-cell_acute_lymphoblastic_leukemia]
ABL1	ENSG00000097007	[521:Chronic_myeloid_leukemia],[99860:Precursor_B-cell_acute_lymphoblastic_leukemia],[99861:Precursor_T-cell_acute_lymphoblastic_leukemia]
ACAD8	27034	[79159:Isobutyryl-CoA_dehydrogenase_deficiency]
ACAD8	ENSG00000151498	[79159:Isobutyryl-CoA_dehydrogenase_deficiency]
ACAD9	28976	[99901:Acyl-CoA_dehydrogenase_9_deficiency]
ACAD9	ENSG00000177646	[99901:Acyl-CoA_dehydrogenase_9_deficiency]
ACADL	33	[99900:Long_chain_acyl-CoA_dehydrogenase_deficiency]
ACADL	ENSG00000115361	[99900:Long_chain_acyl-CoA_dehydrogenase_deficiency]
ACADM	34	[42:Medium_chain_acyl-CoA_dehydrogenase_deficiency]
ACADM	ENSG00000117054	[42:Medium_chain_acyl-CoA_dehydrogenase_deficiency]
ACADS	35	[26792:Short_chain_acyl-CoA_dehydrogenase_deficiency]
ACADS	ENSG00000122971	[26792:Short_chain_acyl-CoA_dehydrogenase_deficiency]
ACADSB	36	[79157:2-methylbutyryl-CoA_dehydrogenase_deficiency]
ACADSB	ENSG00000196177	[79157:2-methylbutyryl-CoA_dehydrogenase_deficiency]
ACADVL	37	[26793:Very_long_chain_acyl-CoA_dehydrogenase_deficiency]
ACADVL	ENSG00000072778	[26793:Very_long_chain_acyl-CoA_dehydrogenase_deficiency]
ACAN	176	[251262:Familial_osteochondritis_dissecans],[435804:Short_stature-advanced_bone_age-early-onset_osteoarthritis_syndrome],[171866:Spondyloepimetaphyseal_dysplasia,_aggrecan_type],[93283:Spondyloepiphyseal_dysplasia,_Kimberley_type]
ACAN	ENSG00000157766	[251262:Familial_osteochondritis_dissecans],[435804:Short_stature-advanced_bone_age-early-onset_osteoarthritis_syndrome],[171866:Spondyloepimetaphyseal_dysplasia,_aggrecan_type],[93283:Spondyloepiphyseal_dysplasia,_Kimberley_type]
ACAT1	38	[134:Beta-ketothiolase_deficiency]
ACAT1	ENSG00000075239	[134:Beta-ketothiolase_deficiency]
ACD	65057	[618:Familial_melanoma],[397692:Hereditary_isolated_aplastic_anemia],[3322:Hoyeraal-Hreidarsson_syndrome]
ACD	ENSG00000102977	[618:Familial_melanoma],[397692:Hereditary_isolated_aplastic_anemia],[3322:Hoyeraal-Hreidarsson_syndrome]
ACE	1636	[97369:Renal_tubular_dysgenesis_of_genetic_origin]
ACE	ENSG00000159640	[97369:Renal_tubular_dysgenesis_of_genetic_origin]
ACE	ENSG00000264813	[97369:Renal_tubular_dysgenesis_of_genetic_origin]
ACER3	55331	[502444:Alkaline_ceramidase_3_deficiency]
ACER3	ENSG00000078124	[502444:Alkaline_ceramidase_3_deficiency]
ACO2	50	[98676:Autosomal_recessive_isolated_optic_atrophy],[313850:Infantile_cerebellar-retinal_degeneration]
ACO2	ENSG00000100412	[98676:Autosomal_recessive_isolated_optic_atrophy],[313850:Infantile_cerebellar-retinal_degeneration]
ACOX1	51	[2971:Peroxisomal_acyl-CoA_oxidase_deficiency]
ACOX1	ENSG00000161533	[2971:Peroxisomal_acyl-CoA_oxidase_deficiency]
ACP5	54	[1855:Spondyloenchondrodysplasia]
ACP5	ENSG00000102575	[1855:Spondyloenchondrodysplasia]
ACPT	93650	[100031:Hypoplastic_amelogenesis_imperfecta]
ACPT	ENSG00000142513	[100031:Hypoplastic_amelogenesis_imperfecta]
ACSF3	197322	[289504:Combined_malonic_and_methylmalonic_acidemia]
ACSF3	ENSG00000176715	[289504:Combined_malonic_and_methylmalonic_acidemia]
ACSL4	2182	[86818:Alport_syndrome-intellectual_disability-midface_hypoplasia-elliptocytosis_syndrome],[777:X-linked_non-syndromic_intellectual_disability]
ACSL4	ENSG00000068366	[86818:Alport_syndrome-intellectual_disability-midface_hypoplasia-elliptocytosis_syndrome],[777:X-linked_non-syndromic_intellectual_disability]
ACTA1	58	[171439:Childhood-onset_nemaline_myopathy],[2020:Congenital_fiber-type_disproportion_myopathy],[98904:Congenital_myopathy_with_excess_of_thin_filaments],[171433:Intermediate_nemaline_myopathy],[447977:Progressive_scapulohumeroperoneal_distal_myopathy],[97244:Rigid_spine_syndrome],[171430:Severe_congenital_nemaline_myopathy],[171436:Typical_nemaline_myopathy],[97240:Zebra_body_myopathy]
ACTA1	ENSG00000143632	[171439:Childhood-onset_nemaline_myopathy],[2020:Congenital_fiber-type_disproportion_myopathy],[98904:Congenital_myopathy_with_excess_of_thin_filaments],[171433:Intermediate_nemaline_myopathy],[447977:Progressive_scapulohumeroperoneal_distal_myopathy],[97244:Rigid_spine_syndrome],[171430:Severe_congenital_nemaline_myopathy],[171436:Typical_nemaline_myopathy],[97240:Zebra_body_myopathy]
ACTA2	59	[91387:Familial_thoracic_aortic_aneurysm_and_aortic_dissection],[2573:Moyamoya_disease],[404463:Multisystemic_smooth_muscle_dysfunction_syndrome]
ACTA2	ENSG00000107796	[91387:Familial_thoracic_aortic_aneurysm_and_aortic_dissection],[2573:Moyamoya_disease],[404463:Multisystemic_smooth_muscle_dysfunction_syndrome]
ACTB	60	[2995:Baraitser-Winter_cerebrofrontofacial_syndrome],[64755:Becker_nevus_syndrome],[79107:Developmental_malformations-deafness-dystonia_syndrome]
ACTB	ENSG00000075624	[2995:Baraitser-Winter_cerebrofrontofacial_syndrome],[64755:Becker_nevus_syndrome],[79107:Developmental_malformations-deafness-dystonia_syndrome]
ACTC1	70	[99103:Atrial_septal_defect,_ostium_secundum_type],[154:Familial_isolated_dilated_cardiomyopathy],[54260:Left_ventricular_noncompaction]
ACTC1	ENSG00000159251	[99103:Atrial_septal_defect,_ostium_secundum_type],[154:Familial_isolated_dilated_cardiomyopathy],[54260:Left_ventricular_noncompaction]
ACTG1	71	[90635:Autosomal_dominant_non-syndromic_sensorineural_deafness_type_DFNA],[2995:Baraitser-Winter_cerebrofrontofacial_syndrome],[98942:Coloboma_of_choroid_and_retina],[98944:Coloboma_of_iris]
ACTG1	ENSG00000184009	[90635:Autosomal_dominant_non-syndromic_sensorineural_deafness_type_DFNA],[2995:Baraitser-Winter_cerebrofrontofacial_syndrome],[98942:Coloboma_of_choroid_and_retina],[98944:Coloboma_of_iris]
ACTG2	72	[2604:Familial_visceral_myopathy],[2241:Megacystis-microcolon-intestinal_hypoperistalsis_syndrome],[104077:Myopathic_intestinal_pseudoobstruction]
ACTG2	ENSG00000163017	[2604:Familial_visceral_myopathy],[2241:Megacystis-microcolon-intestinal_hypoperistalsis_syndrome],[104077:Myopathic_intestinal_pseudoobstruction]
ACTL6A	86	[528084:Non-specific_syndromic_intellectual_disability]
ACTL6A	ENSG00000136518	[528084:Non-specific_syndromic_intellectual_disability]
ACTL6B	51412	[442835:Undetermined_early-onset_epileptic_encephalopathy]
ACTL6B	ENSG00000077080	[442835:Undetermined_early-onset_epileptic_encephalopathy]
ACTN1	87	[140957:Autosomal_dominant_macrothrombocytopenia]
ACTN1	ENSG00000072110	[140957:Autosomal_dominant_macrothrombocytopenia]
ACTN2	88	[154:Familial_isolated_dilated_cardiomyopathy]
ACTN2	ENSG00000077522	[154:Familial_isolated_dilated_cardiomyopathy]
ACTN4	81	[93213:Familial_idiopathic_steroid-resistant_nephrotic_syndrome_with_focal_segmental_hyalinosis]
ACTN4	ENSG00000130402	[93213:Familial_idiopathic_steroid-resistant_nephrotic_syndrome_with_focal_segmental_hyalinosis]
ACVR1	90	[337:Fibrodysplasia_ossificans_progressiva]
ACVR1	ENSG00000115170	[337:Fibrodysplasia_ossificans_progressiva]
ACVR2B	93	[157769:Situs_ambiguus]
ACVR2B	ENSG00000114739	[157769:Situs_ambiguus]
ACVRL1	94	[774:Hereditary_hemorrhagic_telangiectasia],[275777:Heritable_pulmonary_arterial_hypertension]
ACVRL1	ENSG00000139567	[774:Hereditary_hemorrhagic_telangiectasia],[275777:Heritable_pulmonary_arterial_hypertension]
ACY1	95	[137754:Neurological_conditions_associated_with_aminoacylase_1_deficiency]
ACY1	ENSG00000243989	[137754:Neurological_conditions_associated_with_aminoacylase_1_deficiency]
ADA	100	[39041:Omenn_syndrome],[277:Severe_combined_immunodeficiency_due_to_adenosine_deaminase_deficiency]
ADA	ENSG00000196839	[39041:Omenn_syndrome],[277:Severe_combined_immunodeficiency_due_to_adenosine_deaminase_deficiency]
ADAM10	102	[178307:Reticulate_acropigmentation_of_Kitamura]
ADAM10	ENSG00000137845	[178307:Reticulate_acropigmentation_of_Kitamura]
ADAM17	6868	[294023:Neonatal_inflammatory_skin_and_bowel_disease]
ADAM17	ENSG00000151694	[294023:Neonatal_inflammatory_skin_and_bowel_disease]
ADAM9	8754	[1872:Cone_rod_dystrophy]
ADAM9	ENSG00000168615	[1872:Cone_rod_dystrophy]
ADAMTS10	81794	[3449:Weill-Marchesani_syndrome]
ADAMTS10	ENSG00000142303	[3449:Weill-Marchesani_syndrome]
ADAMTS13	11093	[93583:Congenital_thrombotic_thrombocytopenic_purpura]
ADAMTS13	ENSG00000160323	[93583:Congenital_thrombotic_thrombocytopenic_purpura]
ADAMTS17	170691	[363992:Ichthyosis-short_stature-brachydactyly-microspherophakia_syndrome]
ADAMTS17	ENSG00000140470	[363992:Ichthyosis-short_stature-brachydactyly-microspherophakia_syndrome]
ADAMTS18	170692	[369970:Microcornea-myopic_chorioretinal_atrophy-telecanthus_syndrome]
ADAMTS18	ENSG00000140873	[369970:Microcornea-myopic_chorioretinal_atrophy-telecanthus_syndrome]
ADAMTS2	9509	[1901:Dermatosparaxis_Ehlers-Danlos_syndrome]
ADAMTS2	ENSG00000087116	[1901:Dermatosparaxis_Ehlers-Danlos_syndrome]
ADAMTS3	9508	[2136:Hennekam_syndrome]
ADAMTS3	ENSG00000156140	[2136:Hennekam_syndrome]
ADAMTS9	56999	[93592:Juvenile_nephronophthisis]
ADAMTS9	ENSG00000163638	[93592:Juvenile_nephronophthisis]
ADAMTSL1	92949	[521445:Microcephaly-facial_dysmorphism-ocular_anomalies-multiple_congenital_anomalies_syndrome]
ADAMTSL1	ENSG00000178031	[521445:Microcephaly-facial_dysmorphism-ocular_anomalies-multiple_congenital_anomalies_syndrome]
ADAMTSL2	9719	[2623:Geleophysic_dysplasia]
ADAMTSL2	ENSG00000197859	[2623:Geleophysic_dysplasia]
ADAMTSL4	54507	[1885:Isolated_ectopia_lentis]
ADAMTSL4	ENSG00000143382	[1885:Isolated_ectopia_lentis]
ADAR	103	[51:Aicardi-Goutières_syndrome],[41:Dyschromatosis_symmetrica_hereditaria],[225154:Familial_infantile_bilateral_striatal_necrosis]
ADAR	ENSG00000160710	[51:Aicardi-Goutières_syndrome],[41:Dyschromatosis_symmetrica_hereditaria],[225154:Familial_infantile_bilateral_striatal_necrosis]
ADAT3	113179	[363528:Intellectual_disability-strabismus_syndrome]
ADAT3	ENSG00000213638	[363528:Intellectual_disability-strabismus_syndrome]
ADCK3	56997	[139485:Autosomal_recessive_ataxia_due_to_ubiquinone_deficiency]
ADCK3	ENSG00000163050	[139485:Autosomal_recessive_ataxia_due_to_ubiquinone_deficiency]
ADCK4	79934	[93213:Familial_idiopathic_steroid-resistant_nephrotic_syndrome_with_focal_segmental_hyalinosis]
ADCK4	ENSG00000123815	[93213:Familial_idiopathic_steroid-resistant_nephrotic_syndrome_with_focal_segmental_hyalinosis]
ADCY1	107	[90636:Autosomal_recessive_non-syndromic_sensorineural_deafness_type_DFNB]
ADCY1	ENSG00000164742	[90636:Autosomal_recessive_non-syndromic_sensorineural_deafness_type_DFNB]
ADCY10	55811	[2197:Idiopathic_hypercalciuria]
ADCY10	ENSG00000143199	[2197:Idiopathic_hypercalciuria]
ADCY5	111	[1429:Benign_hereditary_chorea],[324588:Familial_dyskinesia_and_facial_myokymia]
ADCY5	ENSG00000173175	[1429:Benign_hereditary_chorea],[324588:Familial_dyskinesia_and_facial_myokymia]
ADCY6	112	[2680:Hypomyelination_neuropathy-arthrogryposis_syndrome]
ADCY6	ENSG00000174233	[2680:Hypomyelination_neuropathy-arthrogryposis_syndrome]
ADD3	120	[210141:Inherited_congenital_spastic_tetraplegia]
ADD3	ENSG00000148700	[210141:Inherited_congenital_spastic_tetraplegia]
ADK	132	[289290:Hypermethioninemia_encephalopathy_due_to_adenosine_kinase_deficiency]
ADK	ENSG00000156110	[289290:Hypermethioninemia_encephalopathy_due_to_adenosine_kinase_deficiency]
ADNP	23394	[404448:ADNP_syndrome]
ADNP	ENSG00000101126	[404448:ADNP_syndrome]
ADORA2A	135	[363549:Acute_encephalopathy_with_biphasic_seizures_and_late_reduced_diffusion]
ADORA2A	ENSG00000128271	[363549:Acute_encephalopathy_with_biphasic_seizures_and_late_reduced_diffusion]
ADRA2B	151	[86814:Benign_adult_familial_myoclonic_epilepsy]
ADRA2B	ENSG00000222040	[86814:Benign_adult_familial_myoclonic_epilepsy]
ADSL	158	[46:Adenylosuccinate_lyase_deficiency]
ADSL	ENSG00000239900	[46:Adenylosuccinate_lyase_deficiency]
ADSSL1	122622	[482601:Adenylosuccinate_synthetase-like_1-related_distal_myopathy]
ADSSL1	ENSG00000185100	[482601:Adenylosuccinate_synthetase-like_1-related_distal_myopathy]
AEBP1	165	[536532:Classical-like_Ehlers-Danlos_syndrome_type_2]
AEBP1	ENSG00000106624	[536532:Classical-like_Ehlers-Danlos_syndrome_type_2]
AFF1	4299	[99860:Precursor_B-cell_acute_lymphoblastic_leukemia]
AFF1	ENSG00000172493	[99860:Precursor_B-cell_acute_lymphoblastic_leukemia]
AFF2	2334	[100973:FRAXE_intellectual_disability]
AFF2	ENSG00000155966	[100973:FRAXE_intellectual_disability]
AFF4	27125	[444077:Cognitive_impairment-coarse_facies-heart_defects-obesity-pulmonary_involvement-short_stature-skeletal_dysplasia_syndrome]
AFF4	ENSG00000072364	[444077:Cognitive_impairment-coarse_facies-heart_defects-obesity-pulmonary_involvement-short_stature-skeletal_dysplasia_syndrome]
AFG3L2	10939	[313772:Early-onset_spastic_ataxia-myoclonic_epilepsy-neuropathy_syndrome],[101109:Spinocerebellar_ataxia_type_28]
AFG3L2	ENSG00000141385	[313772:Early-onset_spastic_ataxia-myoclonic_epilepsy-neuropathy_syndrome],[101109:Spinocerebellar_ataxia_type_28]
AFP	174	[168612:Congenital_deficiency_in_alpha-fetoprotein],[168615:Hereditary_persistence_of_alpha-fetoprotein]
AFP	ENSG00000081051	[168612:Congenital_deficiency_in_alpha-fetoprotein],[168615:Hereditary_persistence_of_alpha-fetoprotein]
AGA	175	[93:Aspartylglucosaminuria]
AGA	ENSG00000038002	[93:Aspartylglucosaminuria]
AGBL1	123624	[98974:Fuchs_endothelial_corneal_dystrophy]
AGBL1	ENSG00000166748	[98974:Fuchs_endothelial_corneal_dystrophy]
AGBL5	60509	[791:Retinitis_pigmentosa]
AGBL5	ENSG00000084693	[791:Retinitis_pigmentosa]
AGGF1	55109	[90308:Klippel-Trénaunay_syndrome]
AGGF1	ENSG00000164252	[90308:Klippel-Trénaunay_syndrome]
AGK	55750	[1369:Congenital_cataract-hypertrophic_cardiomyopathy-mitochondrial_myopathy_syndrome],[98994:Total_early-onset_cataract]
AGK	ENSG00000006530	[1369:Congenital_cataract-hypertrophic_cardiomyopathy-mitochondrial_myopathy_syndrome],[98994:Total_early-onset_cataract]
AGL	178	[366:Glycogen_storage_disease_due_to_glycogen_debranching_enzyme_deficiency]
AGL	ENSG00000162688	[366:Glycogen_storage_disease_due_to_glycogen_debranching_enzyme_deficiency]
AGPAT2	10555	[528:Berardinelli-Seip_congenital_lipodystrophy]
AGPAT2	ENSG00000169692	[528:Berardinelli-Seip_congenital_lipodystrophy]
AGPS	8540	[309803:Rhizomelic_chondrodysplasia_punctata_type_3]
AGPS	ENSG00000018510	[309803:Rhizomelic_chondrodysplasia_punctata_type_3]
AGRN	375790	[98913:Postsynaptic_congenital_myasthenic_syndromes],[98914:Presynaptic_congenital_myasthenic_syndromes]
AGRN	ENSG00000188157	[98913:Postsynaptic_congenital_myasthenic_syndromes],[98914:Presynaptic_congenital_myasthenic_syndromes]
AGT	183	[97369:Renal_tubular_dysgenesis_of_genetic_origin]
AGT	ENSG00000135744	[97369:Renal_tubular_dysgenesis_of_genetic_origin]
AGTR1	185	[97369:Renal_tubular_dysgenesis_of_genetic_origin]
AGTR1	ENSG00000144891	[97369:Renal_tubular_dysgenesis_of_genetic_origin]
AGTR2	186	[777:X-linked_non-syndromic_intellectual_disability]
AGTR2	ENSG00000180772	[777:X-linked_non-syndromic_intellectual_disability]
AGXT	189	[93598:Primary_hyperoxaluria_type_1]
AGXT	ENSG00000172482	[93598:Primary_hyperoxaluria_type_1]
AHCY	191	[88618:Psychomotor_delay_due_to_S-adenosylhomocysteine_hydrolase_deficiency]
AHCY	ENSG00000101444	[88618:Psychomotor_delay_due_to_S-adenosylhomocysteine_hydrolase_deficiency]
AHDC1	27245	[412069:AHDC1-related_intellectual_disability-obstructive_sleep_apnea-mild_dysmorphism_syndrome]
AHDC1	ENSG00000126705	[412069:AHDC1-related_intellectual_disability-obstructive_sleep_apnea-mild_dysmorphism_syndrome]
AHI1	54806	[475:Joubert_syndrome],[220493:Joubert_syndrome_with_ocular_defect],[791:Retinitis_pigmentosa]
AHI1	ENSG00000135541	[475:Joubert_syndrome],[220493:Joubert_syndrome_with_ocular_defect],[791:Retinitis_pigmentosa]
AHR	196	[791:Retinitis_pigmentosa]
AHR	ENSG00000106546	[791:Retinitis_pigmentosa]
AHSG	197	[2850:Alopecia-intellectual_disability_syndrome]
AHSG	ENSG00000145192	[2850:Alopecia-intellectual_disability_syndrome]
AICDA	57379	[101089:Hyper-IgM_syndrome_type_2]
AICDA	ENSG00000111732	[101089:Hyper-IgM_syndrome_type_2]
AIFM1	9131	[83629:Leukoencephalopathy-spondylometaphyseal_dysplasia_syndrome],[238329:Severe_X-linked_mitochondrial_encephalomyopathy],[101078:X-linked_Charcot-Marie-Tooth_disease_type_4],[139583:X-linked_hereditary_sensory_and_autonomic_neuropathy_with_deafness]
AIFM1	ENSG00000156709	[83629:Leukoencephalopathy-spondylometaphyseal_dysplasia_syndrome],[238329:Severe_X-linked_mitochondrial_encephalomyopathy],[101078:X-linked_Charcot-Marie-Tooth_disease_type_4],[139583:X-linked_hereditary_sensory_and_autonomic_neuropathy_with_deafness]
AIMP1	9255	[88616:Autosomal_recessive_non-syndromic_intellectual_disability],[280293:Pelizaeus-Merzbacher-like_disease_due_to_AIMP1_mutation]
AIMP1	ENSG00000164022	[88616:Autosomal_recessive_non-syndromic_intellectual_disability],[280293:Pelizaeus-Merzbacher-like_disease_due_to_AIMP1_mutation]
AIP	9049	[963:Acromegaly],[314777:Familial_isolated_pituitary_adenoma],[314790:Null_pituitary_adenoma],[2965:Prolactinoma],[314786:Silent_pituitary_adenoma]
AIP	ENSG00000110711	[963:Acromegaly],[314777:Familial_isolated_pituitary_adenoma],[314790:Null_pituitary_adenoma],[2965:Prolactinoma],[314786:Silent_pituitary_adenoma]
AIPL1	23746	[1872:Cone_rod_dystrophy],[65:Leber_congenital_amaurosis]
AIPL1	ENSG00000129221	[1872:Cone_rod_dystrophy],[65:Leber_congenital_amaurosis]
AIRE	326	[3453:Autoimmune_polyendocrinopathy_type_1],[189466:Familial_isolated_hypoparathyroidism_due_to_impaired_PTH_secretion]
AIRE	ENSG00000160224	[3453:Autoimmune_polyendocrinopathy_type_1],[189466:Familial_isolated_hypoparathyroidism_due_to_impaired_PTH_secretion]
AK1	203	[86817:Hemolytic_anemia_due_to_adenylate_kinase_deficiency]
AK1	ENSG00000106992	[86817:Hemolytic_anemia_due_to_adenylate_kinase_deficiency]
AK2	204	[33355:Reticular_dysgenesis]
AK2	ENSG00000004455	[33355:Reticular_dysgenesis]
AK7	122481	[276234:Non-syndromic_male_infertility_due_to_sperm_motility_disorder]
AK7	ENSG00000140057	[276234:Non-syndromic_male_infertility_due_to_sperm_motility_disorder]
AK9	221264	[98913:Postsynaptic_congenital_myasthenic_syndromes]
AK9	ENSG00000155085	[98913:Postsynaptic_congenital_myasthenic_syndromes]
AKAP9	10142	[130:Brugada_syndrome],[101016:Romano-Ward_syndrome]
